ID, R, G, B
280,0.505882,0.321569,0.294118
281,0.701961,0.466667,0.470588
282,0.745098,0.509804,0.505882
283,0.713726,0.494118,0.498039
284,0.639216,0.458824,0.486275
285,0.690196,0.505882,0.498039
286,1,1,1
287,0.976471,0.980392,0.980392
288,0.176471,0.184314,0.243137
289,0.164706,0.172549,0.231373
290,0.156863,0.164706,0.223529
291,0.133333,0.160784,0.223529
292,0.133333,0.160784,0.223529
293,0.133333,0.160784,0.223529
294,0.133333,0.160784,0.223529
295,0.152941,0.164706,0.223529
296,0.145098,0.156863,0.211765
297,0.894118,0.909804,0.952941
298,0.898039,0.913725,0.94902
299,0.137255,0.14902,0.207843
300,0.137255,0.14902,0.207843
301,0.145098,0.156863,0.215686
302,0.12549,0.137255,0.196078
303,0.247059,0.278431,0.329412
304,0.32549,0.34902,0.403922
305,0.0862745,0.0980392,0.156863
306,0.101961,0.109804,0.168627
307,0.109804,0.0941176,0.160784
308,0.117647,0.113725,0.168627
309,0.117647,0.0823529,0.109804
310,0.407843,0.294118,0.301961
311,0.686275,0.490196,0.482353
312,0.752941,0.52549,0.505882
313,0.741176,0.52549,0.505882
314,0.741176,0.545098,0.54902
315,0.717647,0.521569,0.54902
316,1,1,1
317,1,1,1
318,0.180392,0.188235,0.247059
319,0.156863,0.164706,0.223529
320,0.145098,0.152941,0.211765
321,0.14902,0.156863,0.215686
322,0.152941,0.156863,0.227451
323,0.152941,0.156863,0.227451
324,0.145098,0.14902,0.219608
325,0.145098,0.14902,0.219608
326,0.145098,0.156863,0.223529
327,0.137255,0.14902,0.211765
328,0.901961,0.913725,0.964706
329,0.882353,0.898039,0.941176
330,0.133333,0.14902,0.196078
331,0.160784,0.172549,0.227451
332,0.145098,0.156863,0.219608
333,0.12549,0.137255,0.203922
334,0.0901961,0.113725,0.176471
335,0.156863,0.180392,0.243137
336,0.498039,0.521569,0.584314
337,0.290196,0.313726,0.376471
338,0.129412,0.117647,0.172549
339,0.0901961,0.0901961,0.156863
340,0.105882,0.0941176,0.152941
341,0.176471,0.141176,0.180392
342,0.694118,0.505882,0.509804
343,0.701961,0.513726,0.454902
344,0.733333,0.541176,0.462745
345,0.764706,0.552941,0.513726
346,0.898039,0.87451,0.886275
347,0.819608,0.823529,0.839216
348,0.121569,0.129412,0.188235
349,0.168627,0.176471,0.235294
350,0.137255,0.145098,0.203922
351,0.141176,0.14902,0.207843
352,0.152941,0.156863,0.227451
353,0.152941,0.156863,0.227451
354,0.145098,0.14902,0.219608
355,0.145098,0.14902,0.219608
356,0.145098,0.156863,0.223529
357,0.137255,0.14902,0.211765
358,0.835294,0.85098,0.901961
359,0.878431,0.894118,0.941176
360,0.211765,0.227451,0.27451
361,0.145098,0.156863,0.211765
362,0.137255,0.14902,0.211765
363,0.129412,0.141176,0.207843
364,0.105882,0.117647,0.184314
365,0.0980392,0.109804,0.176471
366,0.101961,0.113725,0.180392
367,0.129412,0.141176,0.207843
368,0.470588,0.462745,0.521569
369,0.109804,0.117647,0.184314
370,0.109804,0.105882,0.168627
371,0.113725,0.0862745,0.129412
372,0.52549,0.372549,0.376471
373,0.678431,0.443137,0.419608
374,0.752941,0.517647,0.490196
375,0.721569,0.592157,0.568627
376,1,1,1
377,1,1,1
378,0.14902,0.160784,0.227451
379,0.0941176,0.101961,0.160784
380,0.14902,0.156863,0.215686
381,0.117647,0.12549,0.184314
382,0.141176,0.14902,0.207843
383,0.145098,0.14902,0.219608
384,0.152941,0.156863,0.227451
385,0.145098,0.14902,0.219608
386,0.145098,0.14902,0.219608
387,0.141176,0.152941,0.219608
388,0.141176,0.152941,0.215686
389,0.572549,0.584314,0.639216
390,0.870588,0.886275,0.929412
391,0.494118,0.509804,0.552941
392,0.152941,0.164706,0.219608
393,0.137255,0.14902,0.211765
394,0.137255,0.14902,0.215686
395,0.133333,0.137255,0.207843
396,0.105882,0.109804,0.180392
397,0.0941176,0.0980392,0.168627
398,0.101961,0.105882,0.176471
399,0.141176,0.141176,0.207843
400,0.203922,0.219608,0.294118
401,0.113725,0.121569,0.188235
402,0.121569,0.105882,0.152941
403,0.403922,0.309804,0.305882
404,0.643137,0.423529,0.435294
405,0.670588,0.470588,0.494118
406,1,1,1
407,0.72549,0.729412,0.752941
408,0.121569,0.133333,0.2
409,0.0941176,0.101961,0.160784
410,0.137255,0.145098,0.203922
411,0.109804,0.117647,0.176471
412,0.133333,0.141176,0.2
413,0.145098,0.14902,0.219608
414,0.145098,0.14902,0.219608
415,0.141176,0.145098,0.215686
416,0.141176,0.145098,0.215686
417,0.141176,0.152941,0.219608
418,0.141176,0.152941,0.215686
419,0.266667,0.282353,0.333333
420,0.882353,0.898039,0.941176
421,0.843137,0.858824,0.901961
422,0.137255,0.14902,0.203922
423,0.137255,0.14902,0.211765
424,0.137255,0.14902,0.215686
425,0.152941,0.14902,0.219608
426,0.145098,0.141176,0.211765
427,0.133333,0.129412,0.2
428,0.109804,0.105882,0.176471
429,0.0823529,0.0901961,0.164706
430,0.117647,0.141176,0.215686
431,0.109804,0.117647,0.192157
432,0.141176,0.129412,0.184314
433,0.305882,0.207843,0.223529
434,0.505882,0.407843,0.411765
435,0.913725,0.886275,0.890196
436,1,1,1
437,0.145098,0.14902,0.207843
438,0.0901961,0.0862745,0.14902
439,0.0901961,0.0862745,0.14902
440,0.145098,0.141176,0.203922
441,0.121569,0.117647,0.180392
442,0.145098,0.141176,0.203922
443,0.152941,0.156863,0.227451
444,0.14902,0.152941,0.223529
445,0.129412,0.133333,0.203922
446,0.137255,0.141176,0.211765
447,0.129412,0.152941,0.215686
448,0.137255,0.160784,0.219608
449,0.129412,0.152941,0.203922
450,0.878431,0.905882,0.94902
451,0.909804,0.905882,0.945098
452,0.129412,0.14902,0.192157
453,0.121569,0.145098,0.196078
454,0.145098,0.133333,0.2
455,0.137255,0.141176,0.211765
456,0.152941,0.156863,0.227451
457,0.152941,0.156863,0.227451
458,0.133333,0.137255,0.207843
459,0.113725,0.117647,0.188235
460,0.109804,0.113725,0.184314
461,0.137255,0.141176,0.211765
462,0.113725,0.117647,0.188235
463,0.137255,0.121569,0.188235
464,0.384314,0.372549,0.439216
465,1,1,1
466,0.819608,0.823529,0.843137
467,0.109804,0.113725,0.172549
468,0.0901961,0.0862745,0.14902
469,0.113725,0.109804,0.172549
470,0.133333,0.129412,0.192157
471,0.117647,0.113725,0.176471
472,0.141176,0.137255,0.2
473,0.145098,0.14902,0.219608
474,0.141176,0.145098,0.215686
475,0.129412,0.133333,0.203922
476,0.137255,0.141176,0.211765
477,0.133333,0.145098,0.211765
478,0.141176,0.152941,0.215686
479,0.164706,0.180392,0.231373
480,0.847059,0.862745,0.905882
481,0.894118,0.890196,0.929412
482,0.141176,0.164706,0.203922
483,0.121569,0.145098,0.196078
484,0.145098,0.133333,0.2
485,0.12549,0.129412,0.2
486,0.129412,0.133333,0.203922
487,0.14902,0.152941,0.223529
488,0.14902,0.152941,0.223529
489,0.141176,0.145098,0.215686
490,0.12549,0.129412,0.2
491,0.109804,0.113725,0.184314
492,0.141176,0.145098,0.215686
493,0.113725,0.101961,0.168627
494,0.219608,0.211765,0.278431
495,1,1,1
496,1,1,1
497,0.192157,0.203922,0.262745
498,0.105882,0.109804,0.168627
499,0.0862745,0.0823529,0.145098
500,0.12549,0.121569,0.184314
501,0.137255,0.133333,0.196078
502,0.12549,0.121569,0.184314
503,0.137255,0.133333,0.196078
504,0.145098,0.14902,0.219608
505,0.137255,0.141176,0.211765
506,0.12549,0.129412,0.2
507,0.133333,0.137255,0.207843
508,0.137255,0.141176,0.211765
509,0.14902,0.152941,0.219608
510,0.156863,0.164706,0.219608
511,0.647059,0.654902,0.701961
512,0.901961,0.898039,0.937255
513,0.364706,0.384314,0.427451
514,0.113725,0.137255,0.188235
515,0.137255,0.12549,0.192157
516,0.129412,0.133333,0.203922
517,0.117647,0.121569,0.192157
518,0.12549,0.129412,0.2
519,0.14902,0.152941,0.223529
520,0.152941,0.156863,0.227451
521,0.145098,0.14902,0.219608
522,0.137255,0.141176,0.211765
523,0.113725,0.117647,0.188235
524,0.164706,0.160784,0.223529
525,0.129412,0.137255,0.196078
526,0.94902,0.94902,0.956863
527,0.992157,0.992157,0.996078
528,0.109804,0.121569,0.180392
529,0.101961,0.101961,0.164706
530,0.0823529,0.0784314,0.141176
531,0.12549,0.121569,0.184314
532,0.137255,0.133333,0.196078
533,0.12549,0.121569,0.184314
534,0.137255,0.133333,0.196078
535,0.141176,0.145098,0.215686
536,0.129412,0.133333,0.203922
537,0.12549,0.129412,0.2
538,0.133333,0.137255,0.207843
539,0.141176,0.137255,0.207843
540,0.145098,0.141176,0.207843
541,0.156863,0.152941,0.211765
542,0.266667,0.266667,0.317647
543,0.890196,0.886275,0.92549
544,0.705882,0.72549,0.768627
545,0.12549,0.14902,0.2
546,0.14902,0.137255,0.203922
547,0.133333,0.137255,0.207843
548,0.121569,0.12549,0.196078
549,0.105882,0.109804,0.180392
550,0.12549,0.129412,0.2
551,0.14902,0.152941,0.223529
552,0.141176,0.145098,0.215686
553,0.141176,0.145098,0.215686
554,0.121569,0.12549,0.196078
555,0.121569,0.129412,0.188235
556,0.133333,0.145098,0.203922
557,0.266667,0.290196,0.337255
558,1,1,1
559,0.435294,0.443137,0.494118
560,0.113725,0.113725,0.180392
561,0.0980392,0.0901961,0.14902
562,0.0823529,0.0745098,0.129412
563,0.12549,0.121569,0.184314
564,0.12549,0.121569,0.184314
565,0.12549,0.121569,0.184314
566,0.133333,0.129412,0.192157
567,0.145098,0.141176,0.203922
568,0.141176,0.137255,0.2
569,0.133333,0.129412,0.192157
570,0.141176,0.137255,0.2
571,0.129412,0.137255,0.196078
572,0.129412,0.137255,0.196078
573,0.141176,0.14902,0.207843
574,0.121569,0.129412,0.188235
575,0.87451,0.886275,0.913725
576,0.85098,0.858824,0.905882
577,0.133333,0.137255,0.215686
578,0.129412,0.129412,0.219608
579,0.133333,0.137255,0.207843
580,0.129412,0.133333,0.203922
581,0.109804,0.113725,0.184314
582,0.101961,0.105882,0.176471
583,0.117647,0.12549,0.176471
584,0.141176,0.14902,0.203922
585,0.12549,0.129412,0.196078
586,0.141176,0.145098,0.215686
587,0.109804,0.117647,0.164706
588,0.14902,0.156863,0.203922
589,0.141176,0.14902,0.196078
590,1,1,1
591,1,1,1
592,0.145098,0.152941,0.219608
593,0.105882,0.105882,0.172549
594,0.0980392,0.0901961,0.14902
595,0.0823529,0.0745098,0.129412
596,0.113725,0.109804,0.172549
597,0.129412,0.12549,0.188235
598,0.12549,0.121569,0.184314
599,0.133333,0.129412,0.192157
600,0.137255,0.133333,0.196078
601,0.133333,0.129412,0.192157
602,0.129412,0.12549,0.188235
603,0.137255,0.133333,0.196078
604,0.129412,0.137255,0.196078
605,0.129412,0.137255,0.196078
606,0.133333,0.141176,0.2
607,0.14902,0.156863,0.215686
608,0.878431,0.890196,0.92549
609,0.870588,0.878431,0.92549
610,0.133333,0.137255,0.211765
611,0.152941,0.156863,0.239216
612,0.133333,0.137255,0.207843
613,0.141176,0.145098,0.215686
614,0.133333,0.137255,0.207843
615,0.101961,0.105882,0.176471
616,0.0901961,0.0980392,0.14902
617,0.12549,0.133333,0.188235
618,0.137255,0.145098,0.207843
619,0.129412,0.133333,0.203922
620,0.121569,0.12549,0.196078
621,0.129412,0.133333,0.203922
